Grade ,Gender,School,Dose,Season,Pre,Alcohol,Tobacco,Marijuana,Drugs,Sleep,Meals,Contracts,ParentContracts,longtermeffect,impactonperformance,athletictraining,drinkinginjury,damagemusclefibers,testosterone,adequatesleep,AgesStrongly DisagreeAgree_DisagreeAgree,BeforeStrongly Disagree6,Brainmessages,simpletasks,lostpotential,athleticcontractchoice,Teammateaccountability,contractcoaches,contractparents,clearcontracts,Faircontracts,coachesserious,coachcares,coachesexpectations,coachteamissues,coachesunity,coachescontactparents,coachesavoidsubstanceuse,coachencouragessleep,healthybalancedmeals,Parentshealthychoices,parentsavoidatod,parentssleep,parentseathealthy,parentsseecoachasimportant,parentsaddresssensitiveissues,communityatod,communitysleep,communityeatinghabits,communitycharacterbuilding,communityrespectfulbehavior,leadersatod,leaderssleep,leadershelpothers,leadersplayerssleep,leadersplayerseat,socialnormsatod,socialnormsenoughsleep,socialnormseating,socialnormslifestylechoices,socialnormscontracts,socialnormscoachimportant,socialnormssensitivetopics,socialnormsensitivecoach
9,Female,Lebanon,1,Fall,1,0 days,0 days,0 days,0 days,1-2 days,30 days,Yes,Yes,Neither,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree
9,Female,Lebanon,1,Fall,0,0 days,0 days,0 days,0 days,10-19 days,30 days,Yes,Yes,Agree,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Disagree,Neither,Neither,Neither,Agree,Neither,Neither,Neither,Neither,Neither,Agree,Neither,Neither,Agree,Agree,Neither,Agree,Neither,Agree,Neither,Neither,Neither,Neither,Neither,Neither,Disagree,Disagree,Disagree,Neither,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neither,Neither,Neither,Agree,Agree,Neither
9,Female,Lebanon,1,Fall,0,0 days,0 days,0 days,0 days,0 days,20-29 days,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Neither,Agree,Agree,Agree,Agree,Neither,Agree,Neither,Neither,Agree,Neither,Agree,Neither,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Disagree,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Neither,Agree,Neither,Neither,Agree,Neither,Agree,Agree,Agree,Neither,Neither,Disagree
9,Male,Lebanon,1,Fall,1,0 days,0 days,0 days,0 days,0 days,30 days,No,Yes,Agree,Agree,Neither,Neither,Neither,Neither,Strongly Disagree,Disagree,Disagree,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Agree,Agree,Agree,Agree,Agree,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Agree
9,Male,Exeter,1,Fall,0,0 days,0 days,0 days,0 days,0 days,20-29 days,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Disagree,Agree,Agree,Neither,Neither,Neither,Agree,Agree,Agree,Agree,Agree,Neither,Agree,Agree,Agree,Neither,Disagree,Neither,Neither,Agree,Agree,Agree,Agree,Neither,Agree,Agree,Agree,Agree,Agree,Neither,Agree,Neither,Disagree,Disagree,Disagree,Neither,Disagree,Neither,Agree,Agree,Agree,Neither,Disagree
9,Female,Sanborn,1,Fall,1,0 days,0 days,0 days,0 days,0 days,10-19 days,Not sure,Not sure,Agree,Agree,Neither,Agree,Agree,Neither,Strongly Disagree,Agree,Agree,Neither,Agree,Neither,Agree,Disagree,Agree,Agree,Neither,Disagree,Agree,Strongly Disagree,Agree,Strongly Disagree,Neither,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neither,Neither,Disagree,Neither,Agree,Neither,Disagree,Neither,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither,Neither,Disagree,Strongly Disagree,Strongly Disagree
9,Male,Portsmouth,1,Fall,0,0 days,0 days,0 days,0 days,1-2 days,0 days,Not sure,Not sure,Neither,Neither,Neither,Neither,Neither,Neither,Disagree,Neither,Neither,Disagree,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither,Neither
9,Male,Hinsdale,1,Fall,0,0 days,0 days,0 days,0 days,0 days,10-19 days,Yes,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Agree,Neither,Agree,Agree,Agree,Strongly Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
9,Female,Portsmouth,1,Fall,0,0 days,0 days,0 days,0 days,0 days,0 days,Yes,Yes,Neither,Agree,Disagree,Neither,Neither,Agree,Strongly Disagree,Agree,Neither,Neither,Neither,Neither,Strongly Disagree,Neither,Disagree,Neither,Agree,Neither,Agree,Neither,Agree,Neither,Agree,Neither,Agree,Agree,Agree,Neither,Agree,Agree,Agree,Neither,Agree,Neither,Neither,Agree,Neither,Agree,Agree,Agree,Neither,Agree,Agree,Neither,Neither,Agree,Agree,Agree,Agree,Agree,Neither
9,Male,Inter-Lakes,1,Fall,0,0 days,1-2 days,0 days,0 days,10-19 days,30 days,Yes,Yes,Neither,Neither,Neither,Disagree,Disagree,Neither,Neither,Neither,Agree,Neither,Neither,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither,Agree,Neither,Neither,Agree,Agree,Agree,Agree,Neither,Neither,Agree,Agree,Neither,Neither,Agree,Agree,Neither,Neither,Neither,Agree,Neither,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neither,Neither
